Extracted_Code,acc. date,fat.,Airport Code,Longitude,Latitude
BHE,14 Jan 1981,0,BHE,173.870278,-41.518333
LUX,15 Jan 1981,0,LUX,6.2,49.616667
PNS,2 Jan 1982,1,PNS,-87.183333,30.466667
BAQ,7 Jan 1982,0,BAQ,-74.783333,10.883333
ZRH,8 Jan 1982,0,ZRH,8.549167,47.464722
SUN,3 Jan 1983,2,SUN,-114.316667,43.5
THR,7 Jan 1983,0,THR,51.313333,35.689167
BOS,7 Jan 1983,0,BOS,-71.0,42.363056
BRD,9 Jan 1983,1,BRD,-94.135556,46.401667
STL,9 Jan 1984,1,STL,-90.37,38.748611
SOF,10 Jan 1984,50,SOF,23.4,42.7
CLE,4 Jan 1985,0,CLE,-81.85,41.416667
BKK,8 Jan 1985,0,BKK,100.747222,13.681111
BWI,9 Jan 1985,0,BWI,-76.668333,39.175278
MKC,9 Jan 1985,3,MKC,-94.583333,39.116667
URA,10 Jan 1985,0,URA,51.543056,51.150833
BSG,2 Jan 1987,22,BSG,9.8,1.9
ABJ,3 Jan 1987,50,ABJ,-3.933333,5.25
ARN,6 Jan 1987,0,ARN,17.918611,59.651944
MLS,7 Jan 1987,0,MLS,-105.883333,46.433333
BEY,8 Jan 1987,0,BEY,35.488333,33.820833
IAD,10 Jan 1987,0,IAD,-77.455833,38.944444
ILR,10 Jan 1987,0,ILR,4.533333,8.5
YTZ,12 Jan 1987,1,YTZ,-79.396111,43.6275
ASM,13 Jan 1987,54,ASM,38.910556,15.291944
BDU,4 Jan 1988,0,BDU,18.540278,69.055833
THR,5 Jan 1988,0,THR,51.313333,35.689167
XLS,6 Jan 1988,0,XLS,-16.45,16.05
MLU,8 Jan 1988,2,MLU,-92.033333,32.5
LAD,8 Jan 1988,0,LAD,13.233333,-8.85
YGJ,10 Jan 1988,0,YGJ,133.316667,35.45
SEN,11 Jan 1988,0,SEN,0.7000000000000001,51.569444
SEN,11 Jan 1988,0,SEN,0.7000000000000001,51.569444
YHM,12 Jan 1988,0,YHM,-79.933333,43.166667
SEN,4 Jan 1989,0,SEN,0.7000000000000001,51.569444
BDJ,4 Jan 1989,0,BDJ,114.683333,-3.283333
ASE,5 Jan 1989,0,ASE,-106.868889,39.223056
VLI,3 Jan 1990,0,VLI,168.236944,-17.666667
VLG,5 Jan 1990,0,VLG,-57.583333,-38.016667
SPP,5 Jan 1990,0,SPP,17.733333000000002,-14.633333
MIA,6 Jan 1990,1,MIA,-80.266667,25.783333
LPB,7 Jan 1990,0,LPB,-68.192222,-16.513333
OKR,9 Jan 1990,0,OKR,143.416667,-9.733333
PSM,11 Jan 1990,0,PSM,-70.823333,43.078056
PMI,4 Jan 1991,0,PMI,2.733333,39.55
LIM,7 Jan 1991,1,LIM,-77.114444,-12.021944
OTP,10 Jan 1991,0,OTP,26.088889,44.580556
MRD,10 Jan 1991,22,MRD,-71.166667,8.583333
VIH,11 Jan 1991,0,VIH,-90.833333,38.316667
PLM,12 Jan 1991,0,PLM,104.7,-2.9
SGN,12 Jan 1991,0,SGN,106.651944,10.818889
SLK,3 Jan 1992,2,SLK,-74.2,44.4
MAA,10 Jan 1992,0,MAA,80.175278,12.994722
CMG,11 Jan 1992,0,CMG,-57.666944,-19.011389
KOM,11 Jan 1992,,KOM,143.633333,-6.133333
HIB,2 Jan 1993,0,HIB,-92.833333,47.383333
CDG,6 Jan 1993,4,CDG,2.55,49.016667
HMO,8 Jan 1993,9,HMO,-111.05,29.1
DEL,9 Jan 1993,0,DEL,77.118056,28.569444
SUB,9 Jan 1993,15,SUB,112.786944,-7.379722
YQB,10 Jan 1993,0,YQB,-71.393333,46.791111
YQB,10 Jan 1993,0,YQB,-71.393333,46.791111
YQB,10 Jan 1993,0,YQB,-71.393333,46.791111
ABJ,15 Jan 1993,0,ABJ,-3.933333,5.25
EOZ,2 Jan 1994,2,EOZ,-69.533333,7.166667
JED,3 Jan 1994,0,JED,39.156667,21.679444
CMH,7 Jan 1994,5,CMH,-82.883333,40.0
BCM,8 Jan 1994,0,BCM,26.883333,46.6
ATH,9 Jan 1994,0,ATH,23.944444,37.936389
BLR,13 Jan 1994,0,BLR,77.6,12.966667
FIH,2 Jan 1995,0,FIH,15.444444,-4.385833
PZU,4 Jan 1995,0,PZU,37.234167,19.433611
AES,5 Jan 1995,0,AES,6.1,62.560278
IFN,5 Jan 1995,12,IFN,51.861389,32.750833
LEX,10 Jan 1995,0,LEX,-84.605833,38.036389
TNU,11 Jan 1995,0,TNU,-93.05,41.7
ZMT,11 Jan 1995,5,ZMT,-132.166667,54.016667
FLG,11 Jan 1995,1,FLG,-111.683333,35.133333
TOX,14 Jan 1995,0,TOX,68.233333,58.133333
AGB,2 Jan 1996,0,AGB,10.883333,48.383333
GVA,2 Jan 1996,0,GVA,6.108889,46.238056
ABZ,4 Jan 1996,0,ABZ,-2.2,57.2
GEG,4 Jan 1996,0,GEG,-117.533889,47.619722
MLS,4 Jan 1996,0,MLS,-105.883333,46.433333
TNN,6 Jan 1996,0,TNN,120.205833,22.950278
ASE,6 Jan 1996,0,ASE,-106.868889,39.223056
CHH,6 Jan 1996,0,CHH,-78.033333,-6.05
BNA,7 Jan 1996,0,BNA,-86.678056,36.124444
